fold,heldout_mass_GeV,n_train_signal,n_train_background,n_test_signal,n_test_background,fold_auc
1,5,23467,32565,4915,6513,0.9905463039020947
2,10,23552,32565,4830,6513,0.9907246980795535
3,15,23303,32565,5079,6513,0.9883981563581608
4,20,23012,32565,5370,6513,0.9867264039461543
5,30,24399,32565,3983,5974,0.9820871403498346
6,50,24177,32565,4205,6307,0.9199304247757479
