fold,heldout_mass_GeV,n_train_signal,n_train_background,n_test_signal,n_test_background,fold_auc
1,5,23467,32565,4915,6513,0.9909742296454123
2,10,23552,32565,4830,6513,0.9920294305480454
3,15,23303,32565,5079,6513,0.9907144984267763
4,20,23012,32565,5370,6513,0.9892936230389815
5,30,24399,32565,3983,5974,0.9860480653423183
6,50,24177,32565,4205,6307,0.9313034212406162
