fold,heldout_mass_GeV,n_train_signal,n_train_background,n_test_signal,n_test_background,fold_auc
1,5,23467,32565,4915,6513,0.9903219150555607
2,10,23552,32565,4830,6513,0.991527027168787
3,15,23303,32565,5079,6513,0.9904069214774444
4,20,23012,32565,5370,6513,0.9886436838398837
5,30,24399,32565,3983,5974,0.9854989244967375
6,50,24177,32565,4205,6307,0.9276731759268669
