Branch,KS_Value
Mu_POSITION_STATEAT_LastMeasurement_Z,0.734571676094379
Mu_PT,0.6970204241022321
Mu_HCALEOP,0.5856519141144862
Mu_ELECTRONSHOWEREOP,0.5678205428163183
Mu_BREMTRACKBASEDENERGY,0.46602165156084785
Mu_PROBNN_PI,0.431045011513151
Mu_PROBNN_GHOST,0.5526024586002538
Mu_PROBNN_MU,0.4964451740133875
MuNuR_OWNPVIP,0.4015916651518805
MuNuR_MINIP,0.4015916651518805
MuNuR_POSITION_STATEAT_LastMeasurement_Z,0.7141619528104775
MuNuR_E,0.4475570560749875
MuNuR_P,0.4475570560749875
MuNuR_PZ,0.44525540434342403
nTTracks,0.3777079683387265
nFTClusters,0.471798310777543
