feature,mean,std
MuNuR_M,0.9921546915410211,0.003842263735595143
Jet1_M,0.9748919501524007,0.007556629513470109
Mu_M,0.9649682435542629,0.010300291709768766
W_M,0.9230804604585499,0.0030392379642978345
NuR_M,0.8015848183913911,0.15278587387659393
Jet1_PT,0.7647270349069651,0.07562600703739454
Jet1_E,0.6194559911137646,0.0648076344161669
Jet1_P,0.619148775116981,0.06484553297266396
Jet1_PZ,0.6176606610713263,0.06466075837647524
NuR_END_VZ,0.5811455853116445,0.3052936929711034
MuNuR_PT,0.44932925131508994,0.12384458324581821
W_PT,0.4029746640422279,0.007265793445026813
NuR_END_VX,0.36818134647630013,0.08691311433470672
NuR_END_VY,0.36674587137065423,0.08805465608709967
Jet1_ETA,0.36603495198010855,0.029031512507069753
Jet1_THETA,0.36603282862146475,0.029031249030031233
MuNuR_ETA,0.3383573437511353,0.023890161273816265
MuNuR_THETA,0.3383573437511352,0.023890161273816286
NuR_ETA,0.33606634651563344,0.07413453477023162
NuR_THETA,0.3360663465156334,0.07413453477023157
W_END_VX,0.31247090072389716,0.0015299277085423885
Mu_PT,0.3091177525814026,0.050769161135106725
W_END_VY,0.30709683268942883,0.0022035506302671387
Mu_THETA,0.2895267425681255,0.0298574882775412
Mu_ETA,0.2895240604308913,0.02985060155449992
W_ETA,0.28460861155069017,0.024533626903972063
W_THETA,0.284607270482073,0.024534919361563944
Jet1_PY,0.27345123964846485,0.03271329384807336
Jet1_PX,0.2659285155309136,0.03574397480625944
Mu_PZ,0.25463972068502094,0.04793793907840956
Mu_E,0.25002088656413507,0.050055136374185724
Mu_P,0.25002088656413507,0.050055136374185724
NuR_PZ,0.24936868533808687,0.042586499298528854
MuNuR_PZ,0.24802909815489624,0.03252701217372552
NuR_P,0.2429744337916794,0.04026076246280776
NuR_PT,0.24189851756218464,0.06415769982185288
NuR_E,0.24028918994535614,0.04472917066470495
MuNuR_E,0.24014036878876843,0.037607804845194145
MuNuR_P,0.24014036878876843,0.037607804845194145
W_P,0.22494082503672666,0.026001328461183186
W_PZ,0.2240635489915689,0.026046277411371457
W_E,0.21455047575790392,0.02609877965666055
MuNuR_PY,0.1879293794701843,0.05708781862945627
W_PX,0.1813606727286415,0.004792680360147437
MuNuR_PX,0.1800500723181276,0.05418205960675876
Mu_Q,0.1712061493975675,0.2103187829493177
W_Q,0.1712061493975675,0.2103187829493177
W_PY,0.16629610151862664,0.00701587156368094
MuNuR_Q,0.12204005533946953,0.14060179380673288
Mu_PY,0.08566780797489368,0.013422111772935083
Mu_PX,0.08488403119264996,0.021443860131561535
W_END_VZ,0.08475069658472005,0.005722099504002072
NuR_PY,0.07668959919659818,0.023970140735725235
NuR_PX,0.07340800178252295,0.02108811110674281
nPVs,0.043710735882814676,0.017045282736980315
Mu_PHI,0.0398491863108334,0.004863335620206674
W_PHI,0.02717156901282253,0.005677007330543452
MuNuR_PHI,0.02460231297143187,0.00311037697133941
Jet1_PHI,0.014460547056025924,0.006370168356840051
NuR_PHI,0.012013978949149939,0.006985515945411917
NuR_Q,0.0,0.0
